Factorial- 355687428096000,IP- 127.0.0.1 , Port- 39846
Factorial- 6402373705728000,IP- 127.0.0.1 , Port- 39846
Factorial- 121645100408832000,IP- 127.0.0.1 , Port- 39846
Factorial- 2432902008176640000,IP- 127.0.0.1 , Port- 39846
Factorial- 1,IP- 127.0.0.1 , Port- 39848
Factorial- 2,IP- 127.0.0.1 , Port- 39848
Factorial- 6,IP- 127.0.0.1 , Port- 39848
Factorial- 24,IP- 127.0.0.1 , Port- 39848
Factorial- 120,IP- 127.0.0.1 , Port- 39848
Factorial- 720,IP- 127.0.0.1 , Port- 39848
Factorial- 5040,IP- 127.0.0.1 , Port- 39848
Factorial- 40320,IP- 127.0.0.1 , Port- 39848
Factorial- 362880,IP- 127.0.0.1 , Port- 39848
Factorial- 3628800,IP- 127.0.0.1 , Port- 39848
Factorial- 39916800,IP- 127.0.0.1 , Port- 39848
Factorial- 479001600,IP- 127.0.0.1 , Port- 39848
Factorial- 6227020800,IP- 127.0.0.1 , Port- 39848
Factorial- 87178291200,IP- 127.0.0.1 , Port- 39848
Factorial- 1307674368000,IP- 127.0.0.1 , Port- 39848
Factorial- 20922789888000,IP- 127.0.0.1 , Port- 39848
Factorial- 355687428096000,IP- 127.0.0.1 , Port- 39848
Factorial- 6402373705728000,IP- 127.0.0.1 , Port- 39848
Factorial- 121645100408832000,IP- 127.0.0.1 , Port- 39848
Factorial- 2432902008176640000,IP- 127.0.0.1 , Port- 39848
Factorial- 1,IP- 127.0.0.1 , Port- 39862
Factorial- 2,IP- 127.0.0.1 , Port- 39862
Factorial- 6,IP- 127.0.0.1 , Port- 39862
Factorial- 24,IP- 127.0.0.1 , Port- 39862
Factorial- 120,IP- 127.0.0.1 , Port- 39862
Factorial- 720,IP- 127.0.0.1 , Port- 39862
Factorial- 5040,IP- 127.0.0.1 , Port- 39862
Factorial- 40320,IP- 127.0.0.1 , Port- 39862
Factorial- 362880,IP- 127.0.0.1 , Port- 39862
Factorial- 3628800,IP- 127.0.0.1 , Port- 39862
Factorial- 39916800,IP- 127.0.0.1 , Port- 39862
Factorial- 479001600,IP- 127.0.0.1 , Port- 39862
Factorial- 6227020800,IP- 127.0.0.1 , Port- 39862
Factorial- 87178291200,IP- 127.0.0.1 , Port- 39862
Factorial- 1307674368000,IP- 127.0.0.1 , Port- 39862
Factorial- 20922789888000,IP- 127.0.0.1 , Port- 39862
Factorial- 355687428096000,IP- 127.0.0.1 , Port- 39862
Factorial- 6402373705728000,IP- 127.0.0.1 , Port- 39862
Factorial- 121645100408832000,IP- 127.0.0.1 , Port- 39862
Factorial- 2432902008176640000,IP- 127.0.0.1 , Port- 39862
Factorial- 1,IP- 127.0.0.1 , Port- 39868
Factorial- 2,IP- 127.0.0.1 , Port- 39868
Factorial- 6,IP- 127.0.0.1 , Port- 39868
